                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.99186,                0.89652,                 1.0294,                0.47023,                0.43333,                0.32497,                0.15443,                 2.0776,                 2.6121,                 2.4312,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.0295,                0.87054,                 1.0403,                0.43831,                0.41905,                0.28875,                0.12948,                 2.1288,                 2.8599,                 2.4575,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.1216,                 0.9579,                 1.0714,                0.43831,                0.41905,                0.28875,                0.12948,                 2.1288,                 2.8599,                 2.4575,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.0111,                0.86392,                  1.011,                0.84414,                0.34444,                0.39163,                0.16576,                 2.2567,                 2.5547,                 2.6468,             0.00096561,             0.00096561,             0.00096561
                     87,                  1.029,                0.91756,                 1.0928,                0.59796,                0.46667,                0.47787,                 0.1886,                 2.2564,                 2.4136,                 2.5909,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.0719,                0.90617,                 1.0683,                0.44807,                0.46198,                0.38358,                0.14078,                 2.3005,                 2.6339,                 2.5906,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.0438,                0.88956,                 1.0479,                0.44807,                0.46198,                0.38358,                0.14078,                 2.3005,                 2.6339,                 2.5906,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.0449,                0.89537,                 1.0357,                0.27224,                0.35556,                0.24311,                  0.069,                 2.2429,                 2.9196,                 2.4993,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.0557,                0.87673,                 1.0084,                0.35402,                0.27183,                0.26468,                0.10224,                 2.1372,                 2.9402,                  2.419,             0.00092435,             0.00092435,             0.00092435
                     92,                0.95949,                0.85101,                 1.0024,                0.49524,                0.28889,                0.29693,                0.15394,                 2.1396,                 2.6919,                 2.3609,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.0229,                0.85095,                0.99506,                0.49524,                0.28889,                0.29693,                0.15394,                 2.1396,                 2.6919,                 2.3609,             0.00090785,             0.00090785,             0.00090785
                     94,                0.99906,                0.81547,                0.97444,                 0.3682,                0.34444,                0.32307,                0.17801,                 2.1139,                 2.6673,                 2.3851,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.0139,                 0.8324,                 1.0303,                 0.5785,                0.38196,                0.39213,                0.23656,                 2.0508,                 2.3756,                 2.4051,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.0115,                0.88409,                 1.0443,                0.45565,                0.37778,                0.37321,                0.24673,                 2.0444,                  2.276,                 2.3472,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.0194,                0.81472,                 1.0135,                0.45565,                0.37778,                0.37321,                0.24673,                 2.0444,                  2.276,                 2.3472,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.0669,                0.84596,                 1.0197,                0.55184,                0.35556,                 0.3696,                 0.2368,                  2.104,                 2.3825,                 2.4748,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.0606,                0.84464,                 1.0126,                0.46881,                0.36443,                0.33434,                0.21624,                 2.1772,                 2.4482,                 2.5204,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.0161,                0.82546,                0.99246,                0.35577,                0.41111,                0.31415,                0.18292,                 2.2048,                 2.4861,                 2.5228,             0.00085009,             0.00085009,             0.00085009
